lr,t,cc,cc_s,cl,cr,cs,cs_s,nl,nn,nn_s,nr,sc,sc_s,sl,sr,ss,ss_s,sum
CD274_PDCD1,BLCA,0.0,0.0,0.21,0.0,2.12,0.66,1.04,2.66,0.83,0.8,0.0,0.0,9.62,3.1,95.22,29.84,31.34
CD274_PDCD1,BRCA,0.0,0.0,0.19,0.0,4.24,0.48,1.17,2.4,0.27,0.23,0.0,0.0,4.16,2.52,93.36,10.51,11.25
CD274_PDCD1,CESC,0.0,0.0,0.51,0.0,2.36,3.36,0.82,0.19,0.27,0.33,0.0,0.0,21.03,6.6,97.45,138.72,142.36
CD274_PDCD1,CRC,0.0,0.0,0.02,0.0,0.3,0.06,0.86,2.83,0.57,0.66,0.0,0.0,6.53,2.99,96.87,19.49,20.11
CD274_PDCD1,ESCA,0.0,0.0,0.78,0.0,12.37,2.07,0.72,0.95,0.16,0.22,0.0,0.0,5.44,2.66,86.68,14.49,16.71
CD274_PDCD1,GBM,2.02,0.08,0.73,0.11,10.44,0.42,0.76,2.09,0.08,0.11,13.83,0.56,4.99,0.58,71.63,2.9,4.04
CD274_PDCD1,HNSC,0.0,0.0,0.68,0.0,5.7,2.27,1.63,2.44,0.97,0.6,0.0,0.0,10.9,3.35,91.86,36.5,39.74
CD274_PDCD1,KIRC,0.0,0.0,1.3,0.0,30.91,6.36,1.35,1.08,0.22,0.17,0.0,0.0,2.86,4.89,68.0,14.0,20.59
CD274_PDCD1,KIRP,0.0,0.0,0.96,0.0,19.26,2.24,1.09,2.92,0.34,0.31,0.0,0.0,3.87,2.34,77.82,9.04,11.62
CD274_PDCD1,LGG,0.0,0.0,0.07,0.0,2.31,0.03,0.76,7.19,0.08,0.11,0.0,0.0,2.61,0.41,90.5,1.06,1.17
CD274_PDCD1,LIHC,0.0,0.0,0.12,0.0,6.17,0.35,0.65,2.23,0.13,0.2,0.0,0.0,1.81,2.86,91.6,5.19,5.67
CD274_PDCD1,LUAD,0.0,0.0,0.36,0.0,2.79,1.54,6.81,9.73,5.39,0.79,0.0,0.0,11.28,4.3,87.49,48.45,55.38
CD274_PDCD1,LUSC,0.0,0.0,2.4,0.0,20.09,10.09,6.96,13.1,6.58,0.95,0.0,0.0,8.0,4.2,66.81,33.55,50.22
CD274_PDCD1,MEDIAN,0.0,,,,5.51,,,2.75,,,0.0,,,,87.71,,
CD274_PDCD1,OV,1.13,0.08,0.56,0.14,20.42,1.42,0.98,2.2,0.15,0.16,4.01,0.28,1.98,2.54,72.24,5.03,6.96
CD274_PDCD1,PAAD,0.0,0.0,0.37,0.0,8.86,0.76,1.98,32.67,2.82,1.42,0.0,0.0,2.45,2.06,58.46,5.04,8.62
CD274_PDCD1,PRAD,0.0,0.0,0.07,0.0,4.75,0.07,0.81,16.4,0.25,0.31,0.0,0.0,1.14,1.06,78.85,1.21,1.54
CD274_PDCD1,SKCM,0.0,0.0,0.1,0.0,0.7,1.68,5.13,23.43,55.98,10.91,0.0,0.0,10.37,17.49,75.87,181.27,238.93
CD274_PDCD1,STAD,0.03,0.01,0.5,0.01,8.38,1.8,1.24,3.34,0.72,0.58,0.31,0.07,5.26,3.6,87.94,18.91,21.51
CD274_PDCD1,THCA,0.0,0.0,0.29,0.0,3.34,0.65,1.94,7.85,1.52,0.78,0.0,0.0,7.66,2.24,88.81,17.16,19.32
CD274_PDCD1,UCEC,0.0,0.0,0.17,0.0,5.32,1.03,0.99,1.54,0.3,0.3,0.0,0.0,2.94,6.15,93.15,18.09,19.42
